data,hora,abertura,minimo,maximo,fechamento,volume
2025-03-31,10:00:00,12.77,12.61,12.77,12.64,2812500
2025-03-31,10:15:00,12.64,12.57,12.67,12.63,1234700
2025-03-31,10:30:00,12.63,12.58,12.66,12.61,1498300
2025-03-31,10:45:00,12.61,12.6,12.65,12.64,876300
2025-03-31,11:00:00,12.64,12.63,12.68,12.67,385100
2025-03-31,11:15:00,12.67,12.63,12.68,12.65,862800
2025-03-31,11:30:00,12.65,12.64,12.71,12.69,875400
2025-03-31,11:45:00,12.68,12.66,12.7,12.68,300600
2025-03-31,12:00:00,12.68,12.67,12.7,12.7,247400
2025-03-31,12:15:00,12.69,12.66,12.7,12.67,371100
2025-03-31,12:30:00,12.67,12.65,12.67,12.67,306200
2025-03-31,12:45:00,12.67,12.66,12.68,12.66,280100
2025-03-31,13:00:00,12.66,12.63,12.68,12.64,564700
2025-03-31,13:15:00,12.64,12.62,12.65,12.63,770000
2025-03-31,13:30:00,12.64,12.63,12.66,12.64,310800
2025-03-31,13:45:00,12.64,12.64,12.67,12.66,247400
2025-03-31,14:00:00,12.65,12.64,12.66,12.66,246400
2025-03-31,14:15:00,12.65,12.61,12.66,12.63,12146000
2025-03-31,14:30:00,12.63,12.61,12.67,12.62,1351500
2025-03-31,14:45:00,12.62,12.62,12.67,12.66,604800
2025-03-31,15:00:00,12.66,12.65,12.72,12.72,1672400
2025-03-31,15:15:00,12.72,12.7,12.74,12.72,1388200
2025-03-31,15:30:00,12.71,12.68,12.73,12.69,556700
2025-03-31,15:45:00,12.69,12.67,12.69,12.68,378800
2025-03-31,16:00:00,12.69,12.68,12.71,12.69,1302200
2025-03-31,16:15:00,12.7,12.66,12.7,12.68,589500
2025-03-31,16:30:00,12.67,12.66,12.69,12.68,1860600
2025-03-31,16:45:00,12.69,12.64,12.7,12.64,1216500
2025-03-28,10:00:00,13.0,12.96,13.03,13.0,201800
2025-03-28,10:15:00,13.0,12.96,13.02,13.01,306800
2025-03-28,10:30:00,13.01,12.97,13.04,12.97,438800
2025-03-28,10:45:00,12.97,12.96,13.01,12.98,360500
2025-03-28,11:00:00,12.97,12.91,12.97,12.92,641800
2025-03-28,11:15:00,12.92,12.9,12.96,12.93,1217600
2025-03-28,11:30:00,12.93,12.88,12.94,12.92,771400
2025-03-28,11:45:00,12.91,12.84,12.92,12.85,3508900
2025-03-28,12:00:00,12.85,12.83,12.88,12.87,1214400
2025-03-28,12:15:00,12.87,12.86,12.89,12.87,367800
2025-03-28,12:30:00,12.87,12.87,12.9,12.88,247500
2025-03-28,12:45:00,12.88,12.86,12.91,12.9,517700
2025-03-28,13:00:00,12.9,12.88,12.92,12.89,487000
2025-03-28,13:15:00,12.88,12.88,12.92,12.9,507000
2025-03-28,13:30:00,12.9,12.86,12.91,12.86,245100
2025-03-28,13:45:00,12.86,12.84,12.87,12.84,134400
2025-03-28,14:00:00,12.84,12.81,12.84,12.81,694700
2025-03-28,14:15:00,12.81,12.79,12.83,12.83,439000
2025-03-28,14:30:00,12.83,12.82,12.87,12.85,690400
2025-03-28,14:45:00,12.85,12.85,12.88,12.86,251200
2025-03-28,15:00:00,12.86,12.84,12.94,12.89,2263600
2025-03-28,15:15:00,12.88,12.83,12.92,12.84,1313300
2025-03-28,15:30:00,12.84,12.83,12.89,12.86,1355100
