Verificação,Resultado
Duplicatas (linhas completas),0.0
Gaps (>5min entre registros),29.0
Nulos (%) - data,0.0
Nulos (%) - hora,0.0
Nulos (%) - abertura,0.0
Nulos (%) - minimo,0.0
Nulos (%) - maximo,0.0
Nulos (%) - fechamento,0.0
Nulos (%) - volume,0.0
Nulos (%) - retorno,0.0
Nulos (%) - SMA_10,0.0
Nulos (%) - EMA_10,0.0
Nulos (%) - MACD,0.0
Nulos (%) - Signal_Line,0.0
Nulos (%) - rsi,0.0
Nulos (%) - OBV,0.0
Nulos (%) - ADX,1.06
Nulos (%) - BB_MA20,0.41
Nulos (%) - BB_STD20,0.41
Nulos (%) - BB_upper,0.41
Nulos (%) - BB_lower,0.41
Nulos (%) - %K,0.16
Nulos (%) - %D,0.24
Nulos (%) - CCI,0.41
Nulos (%) - ATR,0.57
Nulos (%) - fechamento_lag1,0.0
Nulos (%) - retorno_lag1,0.0
Nulos (%) - volume_lag1,0.0
Nulos (%) - fechamento_lag2,0.0
Nulos (%) - retorno_lag2,0.0
Nulos (%) - volume_lag2,0.0
Nulos (%) - fechamento_lag3,0.0
Nulos (%) - retorno_lag3,0.0
Nulos (%) - volume_lag3,0.0
Nulos (%) - dia_da_semana_entrada,0.0
Nulos (%) - dia_da_semana_previsao,79.73
Nulos (%) - hora_num,0.0
Nulos (%) - minuto,0.0
Nulos (%) - fechamento_dia,0.0
Nulos (%) - volume_dia,0.0
Nulos (%) - maximo_dia,0.0
Nulos (%) - minimo_dia,0.0
Nulos (%) - fechamento_dia_anterior,0.0
Nulos (%) - volume_dia_anterior,0.0
Nulos (%) - maximo_dia_anterior,0.0
Nulos (%) - minimo_dia_anterior,0.0
Nulos (%) - retorno_log,0.0
Nulos (%) - volatilidade,0.0
Valores únicos - data,30.0
Valores únicos - hora,95.0
Valores únicos - abertura,190.0
Valores únicos - minimo,188.0
Valores únicos - maximo,194.0
Valores únicos - fechamento,189.0
Valores únicos - volume,2073.0
Valores únicos - retorno,929.0
Valores únicos - SMA_10,1188.0
Valores únicos - EMA_10,2452.0
Valores únicos - MACD,2452.0
Valores únicos - Signal_Line,2452.0
Valores únicos - rsi,2452.0
Valores únicos - OBV,1829.0
Valores únicos - ADX,2422.0
Valores únicos - BB_MA20,1567.0
Valores únicos - BB_STD20,2275.0
Valores únicos - BB_upper,2305.0
Valores únicos - BB_lower,2300.0
Valores únicos - %K,593.0
Valores únicos - %D,2146.0
Valores únicos - CCI,2439.0
Valores únicos - ATR,661.0
Valores únicos - fechamento_lag1,189.0
Valores únicos - retorno_lag1,928.0
Valores únicos - volume_lag1,2073.0
Valores únicos - fechamento_lag2,189.0
Valores únicos - retorno_lag2,928.0
Valores únicos - volume_lag2,2073.0
Valores únicos - fechamento_lag3,189.0
Valores únicos - retorno_lag3,928.0
Valores únicos - volume_lag3,2072.0
Valores únicos - dia_da_semana_entrada,5.0
Valores únicos - dia_da_semana_previsao,1.0
Valores únicos - hora_num,8.0
Valores únicos - minuto,12.0
Valores únicos - fechamento_dia,28.0
Valores únicos - volume_dia,30.0
Valores únicos - maximo_dia,26.0
Valores únicos - minimo_dia,27.0
Valores únicos - fechamento_dia_anterior,28.0
Valores únicos - volume_dia_anterior,30.0
Valores únicos - maximo_dia_anterior,26.0
Valores únicos - minimo_dia_anterior,27.0
Valores únicos - retorno_log,929.0
Valores únicos - volatilidade,2268.0
Outliers (IQR) - abertura,0.0
Outliers (IQR) - minimo,0.0
Outliers (IQR) - maximo,0.0
Outliers (IQR) - fechamento,0.0
Outliers (IQR) - volume,193.0
Outliers (IQR) - retorno,167.0
Outliers (IQR) - SMA_10,0.0
Outliers (IQR) - EMA_10,0.0
Outliers (IQR) - MACD,178.0
Outliers (IQR) - Signal_Line,165.0
Outliers (IQR) - rsi,11.0
Outliers (IQR) - OBV,0.0
Outliers (IQR) - ADX,71.0
Outliers (IQR) - BB_MA20,0.0
Outliers (IQR) - BB_STD20,217.0
Outliers (IQR) - BB_upper,0.0
Outliers (IQR) - BB_lower,0.0
Outliers (IQR) - %K,0.0
Outliers (IQR) - %D,0.0
Outliers (IQR) - CCI,3.0
Outliers (IQR) - ATR,104.0
Outliers (IQR) - fechamento_lag1,0.0
Outliers (IQR) - retorno_lag1,167.0
Outliers (IQR) - volume_lag1,193.0
Outliers (IQR) - fechamento_lag2,0.0
Outliers (IQR) - retorno_lag2,167.0
Outliers (IQR) - volume_lag2,193.0
Outliers (IQR) - fechamento_lag3,0.0
Outliers (IQR) - retorno_lag3,167.0
Outliers (IQR) - volume_lag3,193.0
Outliers (IQR) - dia_da_semana_entrada,0.0
Outliers (IQR) - dia_da_semana_previsao,0.0
Outliers (IQR) - hora_num,0.0
Outliers (IQR) - minuto,0.0
Outliers (IQR) - fechamento_dia,0.0
Outliers (IQR) - volume_dia,0.0
Outliers (IQR) - maximo_dia,0.0
Outliers (IQR) - minimo_dia,0.0
Outliers (IQR) - fechamento_dia_anterior,0.0
Outliers (IQR) - volume_dia_anterior,0.0
Outliers (IQR) - maximo_dia_anterior,0.0
Outliers (IQR) - minimo_dia_anterior,0.0
Outliers (IQR) - retorno_log,166.0
Outliers (IQR) - volatilidade,180.0
