Verificação,Resultado
Duplicatas (linhas completas),0.0
Gaps (>5min entre registros),28.0
Nulos (%) - data,0.0
Nulos (%) - hora,0.0
Nulos (%) - abertura,0.0
Nulos (%) - minimo,0.0
Nulos (%) - maximo,0.0
Nulos (%) - fechamento,0.0
Nulos (%) - volume,0.0
Nulos (%) - retorno,0.0
Nulos (%) - SMA_10,0.0
Nulos (%) - EMA_10,0.0
Nulos (%) - MACD,0.0
Nulos (%) - Signal_Line,0.0
Nulos (%) - rsi,0.0
Nulos (%) - OBV,0.0
Nulos (%) - ADX,1.1
Nulos (%) - BB_MA20,0.42
Nulos (%) - BB_STD20,0.42
Nulos (%) - BB_upper,0.42
Nulos (%) - BB_lower,0.42
Nulos (%) - %K,0.17
Nulos (%) - %D,0.25
Nulos (%) - CCI,0.42
Nulos (%) - ATR,0.59
Nulos (%) - fechamento_lag1,0.0
Nulos (%) - retorno_lag1,0.0
Nulos (%) - volume_lag1,0.0
Nulos (%) - fechamento_lag2,0.0
Nulos (%) - retorno_lag2,0.0
Nulos (%) - volume_lag2,0.0
Nulos (%) - fechamento_lag3,0.0
Nulos (%) - retorno_lag3,0.0
Nulos (%) - volume_lag3,0.0
Nulos (%) - hora_num,0.0
Nulos (%) - minuto,0.0
Nulos (%) - fechamento_dia,0.0
Nulos (%) - volume_dia,0.0
Nulos (%) - maximo_dia,0.0
Nulos (%) - minimo_dia,0.0
Nulos (%) - fechamento_dia_anterior,0.0
Nulos (%) - volume_dia_anterior,0.0
Nulos (%) - maximo_dia_anterior,0.0
Nulos (%) - minimo_dia_anterior,0.0
Nulos (%) - retorno_log,0.0
Nulos (%) - volatilidade,0.0
Valores únicos - data,29.0
Valores únicos - hora,95.0
Valores únicos - abertura,186.0
Valores únicos - minimo,182.0
Valores únicos - maximo,186.0
Valores únicos - fechamento,184.0
Valores únicos - volume,2007.0
Valores únicos - retorno,947.0
Valores únicos - SMA_10,1160.0
Valores únicos - EMA_10,2364.0
Valores únicos - MACD,2364.0
Valores únicos - Signal_Line,2364.0
Valores únicos - rsi,2364.0
Valores únicos - OBV,1812.0
Valores únicos - ADX,2336.0
Valores únicos - BB_MA20,1504.0
Valores únicos - BB_STD20,2211.0
Valores únicos - BB_upper,2229.0
Valores únicos - BB_lower,2234.0
Valores únicos - %K,652.0
Valores únicos - %D,2091.0
Valores únicos - CCI,2350.0
Valores únicos - ATR,686.0
Valores únicos - fechamento_lag1,184.0
Valores únicos - retorno_lag1,947.0
Valores únicos - volume_lag1,2007.0
Valores únicos - fechamento_lag2,184.0
Valores únicos - retorno_lag2,947.0
Valores únicos - volume_lag2,2007.0
Valores únicos - fechamento_lag3,184.0
Valores únicos - retorno_lag3,947.0
Valores únicos - volume_lag3,2006.0
Valores únicos - hora_num,8.0
Valores únicos - minuto,12.0
Valores únicos - fechamento_dia,27.0
Valores únicos - volume_dia,29.0
Valores únicos - maximo_dia,26.0
Valores únicos - minimo_dia,26.0
Valores únicos - fechamento_dia_anterior,27.0
Valores únicos - volume_dia_anterior,29.0
Valores únicos - maximo_dia_anterior,26.0
Valores únicos - minimo_dia_anterior,26.0
Valores únicos - retorno_log,947.0
Valores únicos - volatilidade,2212.0
Outliers (IQR) - abertura,0.0
Outliers (IQR) - minimo,0.0
Outliers (IQR) - maximo,0.0
Outliers (IQR) - fechamento,0.0
Outliers (IQR) - volume,173.0
Outliers (IQR) - retorno,193.0
Outliers (IQR) - SMA_10,0.0
Outliers (IQR) - EMA_10,0.0
Outliers (IQR) - MACD,181.0
Outliers (IQR) - Signal_Line,171.0
Outliers (IQR) - rsi,22.0
Outliers (IQR) - OBV,0.0
Outliers (IQR) - ADX,57.0
Outliers (IQR) - BB_MA20,0.0
Outliers (IQR) - BB_STD20,234.0
Outliers (IQR) - BB_upper,0.0
Outliers (IQR) - BB_lower,0.0
Outliers (IQR) - %K,0.0
Outliers (IQR) - %D,0.0
Outliers (IQR) - CCI,2.0
Outliers (IQR) - ATR,119.0
Outliers (IQR) - fechamento_lag1,0.0
Outliers (IQR) - retorno_lag1,193.0
Outliers (IQR) - volume_lag1,172.0
Outliers (IQR) - fechamento_lag2,0.0
Outliers (IQR) - retorno_lag2,192.0
Outliers (IQR) - volume_lag2,172.0
Outliers (IQR) - fechamento_lag3,0.0
Outliers (IQR) - retorno_lag3,192.0
Outliers (IQR) - volume_lag3,172.0
Outliers (IQR) - hora_num,0.0
Outliers (IQR) - minuto,0.0
Outliers (IQR) - fechamento_dia,0.0
Outliers (IQR) - volume_dia,0.0
Outliers (IQR) - maximo_dia,0.0
Outliers (IQR) - minimo_dia,0.0
Outliers (IQR) - fechamento_dia_anterior,0.0
Outliers (IQR) - volume_dia_anterior,0.0
Outliers (IQR) - maximo_dia_anterior,0.0
Outliers (IQR) - minimo_dia_anterior,0.0
Outliers (IQR) - retorno_log,192.0
Outliers (IQR) - volatilidade,131.0
